region_id,region_name,kind,number,people,address,rid,parent_rid,latitude,longitude,utc_offset,full_address,id,is_standalone,broadcast_state,is_active,broadcast_state_updated_at,koib
1,Центральный АО,ТИК,79,1750,"улица Арбат, 40 стр. 2",B77T0079,,55.748802,37.587533,180,"Центральный АО, улица Арбат, 40 стр. 2",29006,0,2,1,2020-06-24T06:45:18.615945,1
1,Центральный АО,ТИК,80,1750,"Новая Басманная улица, дом 37, строение 1",B77T0080,,55.770558,37.668785,180,"Центральный АО, Новая Басманная улица, дом 37, строение 1",29007,0,2,1,2020-06-24T06:45:18.615945,1
1,Центральный АО,ТИК,81,1750,"улица Бахрушина, дом 13",B77T0081,,55.735657,37.636275,180,"Центральный АО, улица Бахрушина, дом 13",29008,0,2,1,2020-06-24T06:45:18.615945,1
1,Центральный АО,ТИК,82,1750,"Нижняя Красносельская улица, 5 стр. 7",B77T0082,,55.779327,37.668345,180,"Центральный АО, Нижняя Красносельская улица, 5 стр. 7",29009,0,2,1,2020-06-24T06:45:18.615945,1
1,Центральный АО,ТИК,83,1750,"Проспект Мира, д.5, с.2",B77T0083,,55.774664,37.631918,180,"Центральный АО, Проспект Мира, д.5, с.2",29010,0,2,1,2020-06-24T06:45:18.615945,1
1,Центральный АО,ТИК,84,1750,"Шмитовский проезд, д.2, строние 1, каб 109-110",B77T0084,,55.759309,37.55681,180,"Центральный АО, Шмитовский проезд, д.2, строние 1, каб 109-110",29011,0,2,1,2020-06-24T06:45:18.615945,1
1,Центральный АО,ТИК,85,1750,"город Москва, Воронцовская ул., д. 21",B77T0085,,55.736899,37.659344,180,"Центральный АО, город Москва, Воронцовская ул., д. 21",29012,0,2,1,2020-06-24T06:45:18.615945,1
1,Центральный АО,ТИК,86,1750,"Цветной бульвар, 21 стр. 8",B77T0086,,55.772243,37.619969,180,"Центральный АО, Цветной бульвар, 21 стр. 8",29013,0,2,1,2020-06-24T06:45:18.615945,1
1,Центральный АО,ТИК,87,1750,"улица Пречистенка, дом 14, строение 1",B77T0087,,55.743299,37.597127,180,"Центральный АО, улица Пречистенка, дом 14, строение 1",29014,0,2,1,2020-06-24T06:45:18.615945,1
1,Центральный АО,ТИК,88,1750,"ул. Люсиновская, д. 27, стр. 2",B77T0088,,55.725199,37.623555,180,"Центральный АО, ул. Люсиновская, д. 27, стр. 2",29015,0,2,1,2020-06-24T06:45:18.615945,1
1,Центральный АО,ТИК,9000,1750,"улица Покровка, д. 47",B77T9000,,55.763564,37.654062,180,"Центральный АО, улица Покровка, д. 47",47186,0,2,1,2020-06-25T04:20:12.777976,0
2,Северный АО,ТИК,37,1750,"ул. Усиевича, д. 23/5",B77T0037,,55.805878,37.525708,180,"Северный АО, ул. Усиевича, д. 23/5",28964,0,2,1,2020-06-24T06:45:18.615945,1
2,Северный АО,ТИК,38,1750,"Ленинградский пр-т, д.30, стр. 3",B77T0038,,55.784779,37.571597,180,"Северный АО, Ленинградский пр-т, д.30, стр. 3",28965,0,2,1,2020-06-24T06:45:18.615945,1
2,Северный АО,ТИК,39,1750,"Бескудниковский бульвар, д.16А",B77T0039,,55.863843,37.562065,180,"Северный АО, Бескудниковский бульвар, д.16А",28966,0,2,1,2020-06-24T06:45:18.615945,1
2,Северный АО,ТИК,41,1750,"1-й Новоподмосковный пер., д. 2/1",B77T0041,,55.816222,37.503864,180,"Северный АО, 1-й Новоподмосковный пер., д. 2/1",28968,0,2,1,2020-06-24T06:45:18.615945,1
2,Северный АО,ТИК,42,1750,"ул. 800-летия Москвы, д.32",B77T0042,,55.879379,37.565515,180,"Северный АО, ул. 800-летия Москвы, д.32",28969,0,2,1,2020-06-24T06:45:18.615945,1
2,Северный АО,ТИК,43,1750,"Флотская ул., д.1",B77T0043,,55.851076,37.47995,180,"Северный АО, Флотская ул., д.1",28970,0,2,1,2020-06-24T06:45:18.615945,1
2,Северный АО,ТИК,44,1750,"город Москва, Клязьминская ул., д. 11, корп. 3",B77T0044,,55.887544,37.521848,180,"Северный АО, город Москва, Клязьминская ул., д. 11, корп. 3",28971,0,2,1,2020-06-24T06:45:18.615945,1
2,Северный АО,ТИК,45,1750,"ул. Дегунинская, д. 1.К.1",B77T0045,,55.863015,37.540533,180,"Северный АО, ул. Дегунинская, д. 1.К.1",28972,0,2,1,2020-06-24T06:45:18.615945,1
2,Северный АО,ТИК,46,1750,"З. и А. Космодемьянских ул., д. 31, к. 1",B77T0046,,55.824273,37.522504,180,"Северный АО, З. и А. Космодемьянских ул., д. 31, к. 1",28973,0,2,1,2020-06-24T06:45:18.615945,1
